AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
International Studies & Business Administration (Dual Degree) ,Business Studies,York University  -  Glendon Campus,80s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U (French-language school applicants may present FRA4U instead of ENG4U) MHF4U MCV4U or MDM4U No prerequisite below 70% 3 additional 4U/M courses 4U French required A Bilingual Digital supplementary application is also required.
Computer Science  -  Computer Games Technology (BCOSC 4 year),Computer Science,Algoma University,65%,Co-op option available with this program,ENG4U MHF4U 1 other 4U/M Math 3 other 4U/M courses 65% combined average in top six 4U/M courses
Computer Science  -  Computer Games Technology/Creative Arts (BCOSC 4 year),Computer Science,Algoma University,65%,Co-op option available with this program,ENG4U MHF4U 1 other 4U/M Math 3 other 4U/M courses 65% combined average in top six 4U/M courses
Computer Science  -  Mobile Software Engineering (BCOSC 4 year),Computer Science,Algoma University,65%,Co-op option available with this program,ENG4U MHF4U 1 other 4U/M Math 3 other 4U/M courses 65% combined average in top six 4U/M courses
Computer Science (BCOSC 3 year),Computer Science,Algoma University,65%,Not Available,ENG4U MHF4U 1 other 4U/M math 65% combined average in top six 4U/M courses
Computer Science (BCOSC 4 year),Computer Science,Algoma University,65%,Co-op option available with this program,ENG4U MHF4U 1 other 4U/M math 3 other 4U/M courses 65% combined average in top six 4U/M courses
Computer Science (Brampton) (BCOSC 3 year),Computer Science,Algoma University,65%,Not Available,ENG4U MHF4U 1 other 4U/M Math 65% combined average in top six 4U/M courses
Computer Science (Brampton) (BCOSC 4 year),Computer Science,Algoma University,65%,Co-op option available with this program,ENG4U MHF4U 1 other 4U/M Math 3 other 4U/M courses 65% combined average in top six 4U/M courses
Computer Science (BSc 3 year),Computer Science,Algoma University,65%,Co-op option available with this program,ENG4U MHF4U Two 4U/M sciences (Physics and Chemistry recommended) Two other 4U/M courses 65% combined average in top six 4U/M courses
Computer Science (BSc 4 year),Computer Science,Algoma University,65%,Co-op option available with this program,ENG4U MHF4U Two 4U/M sciences (Physics and Chemistry recommended) Two other 4U/M courses 65% combined average in top six 4U/M courses
Computer Science ,Computer Science,Brock University,High 70s; co-op low 80s,Co-op or internship option available,ENG4U MHF4U (min. 70%) or MCV4U (min. 70%) Strongly recommended subject: ICS4U
Computer Science and Mathematics Co-op Only ,Computer Science,Brock University,Mid-70s,Co-op program,ENG4U MHF4U (min. 75%) MCV4U (min. 75%) Strongly recommended subject: ICS4U
Computing and Business ,Computer Science,Brock University,High 70s,Co-op or internship option available,ENG4U MHF4U and a second 4U Math (min. 75% average between the 2 maths) Strongly recommended subject: ICS4U
Game Design ,Computer Science,Brock University,Low 80s,Not Available,ENG4U Recommended subjects: 1 from 4U History Philosophy Classical Studies or International Language ASM4U AVI4M ADA4M or ICS3C
Game Programming ,Computer Science,Brock University,Low 80s,Not Available,ENG4U MHF4U or MCV4U (min 70%) Strongly recommended subject: ICS4U
Interactive Arts and Science ,Computer Science,Brock University,Mid-70s,Not Available,ENG4U Strongly recommended subjects: 1 from 4U History 4U Philosophy 4U Classical Studies or 4U International Language
Commerce  -  Information Systems (regular and co-op) ,Computer Science,Carleton University,80% (regular and co-op),Co-op option available with this program,English (ENG4U) Advanced Functions (MHF4U) Calculus (MCV4U) or Math for Data Management (MDM4U). Calculus (MCV4U) recommended.
Computer Science  -  Honours: Cybersecurity (regular and co-op) ,Computer Science,Carleton University,85-88% (regular and co-op),Co-op option available with this program,Advanced Functions (MHF4U) Calculus (MCV4U) 4 best 4U/M courses
Computer Science  -  Honours (regular and co-op) ,Computer Science,Carleton University,85-88% (regular and co-op),Co-op option available with this program,MHF4U MCV4U 4 best 4U/M courses
Computer Science - Major ,Computer Science,Carleton University,85-88% (regular and co-op),Co-op option available with this program,Advanced Functions (MHF4U) Calculus (MCV4U) 4 best 4U/M courses
Engineering  -  Computer Systems Engineering (regular and co-op) ,Computer Science,Carleton University,75 - 85% (regular and co-op),Co-op option available with this program,Advanced Functions (MHF4U) Chemistry (SCH4U) Physics (SPH4U) One credit from Calculus (MCV4U) Biology (SBI4U) or Earth and Space Science (SES4U). Calculus (MCV4U) recommended.
Engineering  -  Software Engineering (regular and co-op) ,Computer Science,Carleton University,75 - 85% (regular and co-op),Co-op option available with this program,Advanced Functions (MHF4U) Chemistry (SCH4U) Physics (SPH4U) One credit from Calculus (MCV4U) Biology (SBI4U) or Earth and Space Science (SES4U). Calculus (MCV4U) recommended.
Information Technology  -  Interactive Multimedia and Design (regular and co-op) (program offered jointly with Algonquin College) ,Computer Science,Carleton University,75 - 77% (regular and co-op),Co-op option available with this program,Advanced Functions (MHF4U) 5 best 4U/M courses
Information Technology  -  Network Technology (regular and co-op) (program offered jointly with Algonquin College) ,Computer Science,Carleton University,75 - 77% (regular and co-op),Co-op option available with this program,One 4U course in math (MHF4U MCV4U or MDM4U) Five 4U/M courses
Science  -  Honours (4 years) (regular and co-op),Computer Science,Carleton University,78 - 82%,Co-op available by major,Honours in Biochemistry Bioinformatics Biology Biotechnology Chemistry Computational Biochemistry Food Science Interdisciplinary Science and Practice Linguistics Nanoscience Neuroscience Neuroscience and Mental Health and Psychology: Advanced Functions (MHF4U) Two credits from Biology (SBI4U) Chemistry (SCH4U) Earth and Space Science (SES4U) or Physics (SPH4U) 3 best 4U/M courses Calculus (MCV4U) strongly recommended Honours in Earth Sciences Environmental Science Geomatics and Physical Geography: Advanced Functions (MHF4U) or Calculus (MCV4U) Two credits from Biology (SBI4U) Chemistry (SCH4U) Earth and Space Science (SES4U) or Physics (SPH4U) 3 best 4U/M courses Honours in Physics Applied Physics and Mathematics and Physics: Advanced Functions (MHF4U) and Calculus (MCV4U) One credit from Biology (SBI4U) Chemistry (SCH4U) Earth and Space Science (SES4U or Physics (SPH4U) 3 best 4U/M courses
Arts and Sciences ,Computer Science,University of Guelph,78 to 83%,Embedded community engagement/volunteerism/partnership,ENG4U MHF4U One 4U/M Arts or Social Sciences Two from SBI4U SCH4U SPH4U One additional 4U/M course Arts and Social Science courses include Languages and Literatures Performing Arts Social Studies Geography and History.
Bachelor of One Health ,Computer Science,University of Guelph,83 to 88 %,Co-op option available with this program,English (ENG4U) Advanced Functions (MHF4U) 2 of Biology (SBI4U) Chemistry (SCH4U) Physics (SPH4U) 1 4U/M Arts or Social Studies course 1 additional 4U/M course
Computer Engineering (co-op and regular) ,Computer Science,University of Guelph,84 to 89%,Co-op option available with this program,ENG4U MCV4U MHF4U SCH4U SPH4U 1 additional 4U/M course
Computer Science (co-op and regular) ,Computer Science,University of Guelph,87 to 91%,Co-op option available with this program,"ENG4U MCV4U 4 additional 4U/M courses Computing courses are recommended as are any other courses necessary to prepare for study in an ""Area of Application""."
Engineering Systems and Computing (co-op and regular) ,Computer Science,University of Guelph,84 to 89%,Co-op option available with this program,ENG4U MCV4U MHF4U SCH4U SPH4U 1 additional 4U/M course
General Bachelor of Computing ,Computer Science,University of Guelph,87 to 91%,Not Available,"ENG4U MCV4U 4 additional 4U/M courses Computing courses are recommended as are any other courses necessary to prepare for study in an ""Area of Application""."
Software Engineering (co-op and regular) ,Computer Science,University of Guelph,87 to 91%,Co-op option available with this program,"ENG4U MCV4U 4 additional 4U/M courses Computing courses are recommended as are any other courses necessary to prepare for study in an ""Area of Application""."
Bioinformatics (Thunder Bay) ,Computer Science,Lakehead University,70%,Not Available,ENG4U MHF4U SBI4U SCH4U
Business (co-op available) (Thunder Bay and Orillia) ,Computer Science,Lakehead University,70%,Co-op or internship option available,ENG4U 1 of MCV4U MDM4U MHF4U
Business - International Dual Degree (Renees) ,Computer Science,Lakehead University,70% minimum,Co-op option available with this program,ENG4U 1 of MCV4U MDM4U MHF4U
